VSO Amount,Days Until Unlock
170833.0,348
170833.0,318
170833.0,287
170833.0,256
170833.0,226
170833.0,195
170833.0,165
170833.0,134
170833.0,106
170833.0,75
170833.0,44
170833.0,14
16666.0,348
16666.0,318
16666.0,287
16666.0,256
16666.0,226
16666.0,195
16666.0,165
16666.0,134
16666.0,106
16666.0,75
16666.0,44
16666.0,14
12500.0,348
12500.0,318
12500.0,287
12500.0,256
12500.0,226
12500.0,195
12500.0,165
12500.0,134
12500.0,106
12500.0,75
12500.0,44
12500.0,14
8333.0,348
8333.0,318
8333.0,287
8333.0,256
8333.0,226
8333.0,195
8333.0,165
8333.0,134
8333.0,106
8333.0,75
8333.0,44
8333.0,14
208333.0,348
208333.0,318
208333.0,287
208333.0,256
208333.0,226
208333.0,195
208333.0,165
208333.0,134
208333.0,106
208333.0,75
208333.0,44
208333.0,14
250000.0,226
250000.0,195
250000.0,165
250000.0,134
250000.0,106
250000.0,75
250000.0,44
250000.0,14
250000.0,0
250000.0,0
250000.0,0
250000.0,0
916666.0,226
916666.0,195
916666.0,165
916666.0,134
916666.0,106
916666.0,75
916666.0,44
916666.0,14
916666.0,0
916666.0,0
916666.0,0
916666.0,0
208333.0,226
208333.0,195
208333.0,165
208333.0,134
208333.0,106
208333.0,75
208333.0,44
208333.0,14
208333.0,0
208333.0,0
208333.0,0
208333.0,0
1.0,0
1.0,0
158333.0,227
158333.0,196
158333.0,166
158333.0,135
158333.0,107
158333.0,76
158333.0,45
158333.0,15
208333.0,0
208333.0,0
208333.0,0
208333.0,0
3958338.0,227
791666.0,196
791666.0,166
791666.0,135
791666.0,107
791666.0,76
791666.0,45
791666.0,15
10400000.0,0
33335.0,227
33333.0,196
33333.0,166
33333.0,135
33333.0,107
33333.0,76
33333.0,45
33333.0,15
33333.0,0
33333.0,0
33333.0,0
33333.0,0
20833.0,15
